# Composite best data per (k,D,p) — generated 2026-04-07
# Best c̃ at each depth from all sources (Mac, Azure fleet, P710 swarm, Stephen cluster)
k,D,p,ctilde,converged,source,gamma,beta
3,4,1,0.676056660061,true,local/20260331T042916-k3-d4-p1-12-r2-i320-s1234,3.6916431695847245,0.28737134801591857
3,4,2,0.739122784672,true,local/20260331T042916-k3-d4-p1-12-r2-i320-s1234,2.7191318368502895;3.862785932585072,1.9343887453498883;0.2114574029218259
3,4,3,0.777144062579,true,local/20260331T042916-k3-d4-p1-12-r2-i320-s1234,2.780197925127931;3.7658412617389994;3.870022135985064,1.9545683188631753;0.2954713531707407;0.17591776293047443
3,4,4,0.802204018074,true,local/20260331T042916-k3-d4-p1-12-r2-i320-s1234,2.8172819068676733;3.7051754105795225;3.7832333095634487;3.8748789344321706,1.9578962937903273;0.3147950782521779;0.2661397412915824;0.15295439890593493
3,4,5,0.820480966926,true,local/20260331T042916-k3-d4-p1-12-r2-i320-s1234,2.8421234091124763;3.6699133130449324;3.7264530288133795;3.7894212120886954;3.8795683897907236,1.9596364987761499;0.32072702744696546;0.2857074028313304;0.24670634737525182;0.13540521489637944
3,4,6,0.834391132449,true,origin/stephen-apr6-results/20260331T232833-k3-d4-p1-15-r2-i320-s1234,2.860654665197588;0.5008281205560724;0.5512541738168453;0.5907501621225486;0.649547981341222;0.7420169968255372,1.9594372981900812;0.3216989018517114;0.2950087377069046;0.2695906631889056;0.23127252056018427;0.12222497052653626
3,4,7,0.845313272926,true,origin/stephen-apr6-results/20260331T232833-k3-d4-p1-15-r2-i320-s1234,2.875635321973785;0.4795818271809037;0.5264329559852897;0.5558766990522427;0.5904077158469673;0.6496580773808265;0.7444342940999583,1.9586630012498856;0.3212878249385136;0.29692053605428864;0.28269898594839143;0.2579663953753847;0.21905623573339109;0.11247603572828939
3,4,8,0.854102061491,true,local/20260331T042916-k3-d4-p1-12-r2-i320-s1234,2.887846412048007;3.6036004816993925;3.6490135224270133;3.674108994302764;3.6947527601684884;3.729638165239509;3.7905300845962246;3.8868988139570297,1.957501856629606;0.3196512685101759;0.2968096150915321;0.2861177426673958;0.2739567697134378;0.24890343584452104;0.20913006806116077;0.10499921373154052
3,4,9,0.861321028961,true,origin/stephen-apr6-results/20260331T232833-k3-d4-p1-15-r2-i320-s1234,2.898016022762011;0.44723967641784035;0.4921022617824667;0.5152168888450642;0.5304411224450827;0.5483339491570132;0.5853509187661713;0.6480115992430046;0.7454161857688467,1.9561093266445673;0.31759201838400974;0.29532877811192226;0.2867715516144442;0.27889460165432634;0.2671426932057027;0.24140884570603294;0.2007860843044839;0.09896200364159667
3,4,10,0.867359618593,true,origin/stephen-apr6-results/20260331T232833-k3-d4-p1-15-r2-i320-s1234,2.9065931998735315;0.43468718738869333;0.47933185793321625;0.5015545123152486;0.5140712193418007;0.5257895677321381;0.5434003675051691;0.582858454999428;0.6472126510253685;0.7453317250735234,1.9546640540014515;0.3153690676252151;0.2932974736540324;0.28579532766573595;0.28031617538117487;0.2735645167900465;0.26141388484370737;0.23492664524958565;0.193555509900558;0.09389397426211883
3,4,11,0.872489725464,true,origin/stephen-apr6-results/20260331T232833-k3-d4-p1-15-r2-i320-s1234,2.913902436208289;0.42384730354229827;0.46853060938900876;0.4902411736211872;0.501301678835071;0.5099246938085098;0.5207838758995139;0.5389070377212523;0.5807534136306586;0.6466647007449121;0.7452938948193429,1.9532272576086207;0.3131332999008824;0.29106416471663826;0.284049199448916;0.2798705291427288;0.27577447873682936;0.2692183744634846;0.25635919115475103;0.22915513474586718;0.18714113703886215;0.08952459826503815
3,4,12,0.876905340561,true,origin/stephen-apr6-results/20260401T022556-k3-d4-p12-15-r2-i320-s1234,2.9202113660026523;0.41430414808686455;0.459242616507614;0.4807513603598664;0.49079477587815246;0.49761217756613896;0.5049298258552292;0.515871284852859;0.5349674889027348;0.579071494670125;0.64643063963662;0.7454889733818263,1.9517760168323073;0.3109612920742403;0.28881112450248664;0.2820310643546148;0.2784573522861036;0.2758127421396335;0.2720588387390439;0.2653687043508077;0.2517863553113087;0.22392782405756442;0.18137614452510142;0.08569070645455229
